Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2006","2006","t","22727","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2007","2007","t","21703","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2008","2008","t","19929","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2009","2009","t","21921","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2010","2010","t","19610","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2011","2011","t","20886","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2012","2012","t","20377","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2013","2013","t","19107","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2014","2014","t","17210","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2015","2015","t","18548","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2016","2016","t","17469","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2017","2017","t","17113","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2018","2018","t","16950","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2019","2019","t","18060","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2020","2020","t","17130","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2021","2021","t","19140","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","t","20710","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2023","2023","t","16280","A","Official figure",""
"QCL","Crops and livestock products","100","Bulgaria","5510","Production","02951.01","Raw hides and skins of cattle","2005","2005","t","4788.64","I","Imputed value",""
